makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Bûselikaşîrân Seyir,1,38.51491891934791,38.51491891934791,1848.7619047619048,1848.7619047619048
Beyâtî Türkü,5,36.08709770617276,52.04435920510571,1852.290476190476,1115.4761904761904
Rengidil Sazeseri,1,46.2369522691586,46.2369522691586,1856,1856
Kürdîlihicazkâr Longa,1,42.3899633010576,42.3899633010576,1862.4166666666667,1862.4166666666667
Tâhir Türkü,13,35.69530576446304,58.90030926776243,1863.3461538461538,517.5952380952381
Nikrîz Küpe,1,37.5473016598861,37.5473016598861,1865.7380952380952,1865.7380952380952
Hisarbûselik Tavşanca,1,39.1994585092236,39.1994585092236,1865.857142857143,1865.857142857143
Zevk-i-Dil Küpe,1,39.03145350591083,39.03145350591083,1866.0714285714287,1866.0714285714287
Tarz-ı-Nevîn Küpe,1,37.99581679067426,37.99581679067426,1866.904761904762,1866.904761904762
Nev`eser Türkü,1,38.72805593255415,38.72805593255415,1873.0714285714287,1873.0714285714287
Hicaz Taksim,1,44.1354656633449,44.1354656633449,1880.547619047619,1880.547619047619
Acemkürdî Türkü,1,36.34151580616344,36.34151580616344,1889.0238095238096,1889.0238095238096
Hüseynî Türkü,13,33.541162096892975,54.96321349830772,1890.2154512154511,807.8571428571429
Hüseynî Sazeseri,1,39.11592161698253,39.11592161698253,1899.857142857143,1899.857142857143
Nihâvend-i-Rûmî Küpe,1,36.2793057330315,36.2793057330315,1901.547619047619,1901.547619047619
Sûzidil Köçekçe,1,42.04773341913228,42.04773341913228,1911.5,1911.5
Sûzidilârâ Küpe,1,37.05410961403818,37.05410961403818,1917.452380952381,1917.452380952381
Sûzinâk-Zirgüle Küpe,1,37.59109808049188,37.59109808049188,1927.2857142857142,1927.2857142857142
Mâverâünnehr Küpe,1,37.11211321857242,37.11211321857242,1931.1904761904761,1931.1904761904761
Hüseynîgülizâr İlâhî,1,37.21209271174652,37.21209271174652,1939.642857142857,1939.642857142857
Muhayyer Türkü,14,36.78549929381418,64.37770717405824,1955.4253117913831,280.85714285714283
Sabâaşîrân Seyir,1,35.22854730269437,35.22854730269437,1962.7142857142858,1962.7142857142858
Sabâ Mehter,1,36.27236866999292,36.27236866999292,1963.404761904762,1963.404761904762
Rast Küpe,1,36.90577832562138,36.90577832562138,1971.1904761904761,1971.1904761904761
Acemkürdî Nefes,1,35.2618362136164,35.2618362136164,1986.7619047619048,1986.7619047619048
Sazkâr Küpe,1,35.17843207644737,35.17843207644737,1991.4761904761904,1991.4761904761904
Segâh İlâhî,6,34.79828925326773,55.389608476326494,1991.5039682539682,1163.357142857143
Müstear Küpe,1,35.81649463793647,35.81649463793647,2003.857142857143,2003.857142857143
Kürdîlihicazkâr Küpe,1,34.77659451425108,34.77659451425108,2006.4761904761904,2006.4761904761904
Sûzinâk Küpe,1,35.622051550212234,35.622051550212234,2008.047619047619,2008.047619047619
Hüseynî Oyunhavası,1,35.990837508809335,35.990837508809335,2010.5238095238096,2010.5238095238096
Hicaz Türkü,14,32.4998645106017,59.68256093216979,2014.2077664399092,446.6666666666667
Nev`eser Küpe,1,34.97051112669981,34.97051112669981,2015.1904761904761,2015.1904761904761
Canfezâ Küpe,1,34.07629785720288,34.07629785720288,2016.9285714285713,2016.9285714285713
Nikrîz Türkü,7,34.417029475453866,60.219554503283284,2019.6445578231292,471.3809523809524
Mâhur Zeybek,1,40.19745371769485,40.19745371769485,2027.1666666666667,2027.1666666666667
Uşşak Türkü,12,33.08134849568847,48.28519122767775,2033.2973985890653,1256.8809523809523
Zâvil Küpe,1,34.33900367759362,34.33900367759362,2033.7142857142858,2033.7142857142858
Pesendîde Küpe,1,34.04639615090336,34.04639615090336,2034.8809523809523,2034.8809523809523
Şehnâz Dîvân,1,37.9004233848907,37.9004233848907,2035.3809523809523,2035.3809523809523
Rast Marş,2,35.71606320995611,41.8147017152267,2038.9087301587301,1853.1666666666667
Nihâvent Türkü,5,34.74445479961139,41.104910102701645,2040.1809523809525,1697.7619047619048
Rast-ı-Cedîd Küpe,1,33.68915666136392,33.68915666136392,2045.2380952380952,2045.2380952380952
Hüseynî Etüd,1,34.479663917341,34.479663917341,2048.309523809524,2048.309523809524
Nevâ Taksim,1,37.41692819144513,37.41692819144513,2051.9285714285716,2051.9285714285716
Rehâvî Küpe,1,33.609577254124474,33.609577254124474,2064.4285714285716,2064.4285714285716
Çargâh(Yeni) Türkü,6,32.306740352929786,42.13788868083581,2066.279761904762,1617.6904761904761
Dügâh Küpe,1,33.01103542647447,33.01103542647447,2074.8571428571427,2074.8571428571427
Aşîrân-Mâye Küpe,1,32.2213553119293,32.2213553119293,2077.6428571428573,2077.6428571428573
Hicaz-Zirgüle İlâhî,1,31.7481446681608,31.7481446681608,2093.154761904762,2093.154761904762
Gerdâniye Türkü,8,32.881175222246014,47.42282248357397,2094.6268601190477,1261.782738095238
Nevâbûselik Küpe,1,32.10778331387457,32.10778331387457,2096.714285714286,2096.714285714286
Nişâburek Türkü,1,33.09532752005859,33.09532752005859,2107.8809523809523,2107.8809523809523
Zâvil Şarkı,1,33.4816134564394,33.4816134564394,2112.1666666666665,2112.1666666666665
Şevk`efzâ Küpe,1,31.807532364730076,31.807532364730076,2112.285714285714,2112.285714285714
Irak Küpe,1,31.83633987618435,31.83633987618435,2112.690476190476,2112.690476190476
Gerdâniyebûselik Küpe,1,31.873739276229113,31.873739276229113,2118.9761904761904,2118.9761904761904
Hicazbûselik Küpe,1,31.427727718194017,31.427727718194017,2119.4523809523807,2119.4523809523807
Acemkürdî Fantezi,3,31.157874192646872,49.69965625119342,2129.4444444444443,1343.5238095238096
Şevk-ı-Dil Peşrev,1,33.75047612399689,33.75047612399689,2130.9761904761904,2130.9761904761904
Dilnişîn Küpe,1,32.55470977617983,32.55470977617983,2132.6190476190477,2132.6190476190477
Tâhirbûselik Küpe,1,31.272187361296552,31.272187361296552,2136.1190476190477,2136.1190476190477
Pençgâh-ı-Zâid Küpe,1,31.547084262432282,31.547084262432282,2136.809523809524,2136.809523809524
Pençgâh-ı-Asl Küpe,1,32.6222499196652,32.6222499196652,2145.285714285714,2145.285714285714
Hicaz İlâhî,3,30.781909923546763,44.01938393641916,2155.888888888889,1600.6904761904761
Hicaz Ezan,1,34.41701736188061,34.41701736188061,2157.0714285714284,2157.0714285714284
Beyâtî Karşılama,1,32.71176618311123,32.71176618311123,2169.404761904762,2169.404761904762
Uşşak İlâhî,3,28.419470421113953,40.056858376658475,2170.2174603174603,1707.9619047619049
Şevkâver Peşrev,1,32.11575606319955,32.11575606319955,2173,2173
Hüseynîaşîrân Küpe,1,30.531717065769655,30.531717065769655,2179.4523809523807,2179.4523809523807
Evcârâ Küpe,1,29.603109938497838,29.603109938497838,2181.095238095238,2181.095238095238
Şehnâz Türkü,1,33.35283867925186,33.35283867925186,2183.5238095238096,2183.5238095238096
