raga,makam,usul,metric,agg,value
Bhairav,Acemaşîrân Şarkı,Ağırdüyek,shapeh_score,max,57.4983133254412
Bhairav,Acemaşîrân Şarkı,Ağırdüyek,shapeh_score,top_5_mean,46.96285683352489
Bhairav,Acemaşîrân Şarkı,Aksak,shapeh_score,mean,21.452280249823744
Bhairav,Acemaşîrân Şarkı,Aksak,shapeh_score,median,20.272731287385696
Bhairav,Acemaşîrân Şarkı,Aksak,shapeh_score,max,51.413048650019256
Bhairav,Acemaşîrân Şarkı,Aksak,shapeh_score,top_5_mean,48.365213619327186
Bhairav,Acemaşîrân Şarkı,Curcuna,shapeh_score,mean,20.441748310696795
Bhairav,Acemaşîrân Şarkı,Curcuna,shapeh_score,median,20.183303346425
Bhairav,Acemaşîrân Şarkı,Curcuna,shapeh_score,max,41.54576030702033
Bhairav,Acemaşîrân Şarkı,Curcuna,shapeh_score,top_5_mean,36.287759500721535
Bhairav,Acemaşîrân Şarkı,K. Curcuna,shapeh_score,mean,23.473374484692222
Bhairav,Acemaşîrân Şarkı,K. Curcuna,shapeh_score,median,22.98511944191586
Bhairav,Acemaşîrân Şarkı,K. Curcuna,shapeh_score,max,53.8300212401331
Bhairav,Acemaşîrân Şarkı,K. Curcuna,shapeh_score,top_5_mean,46.85060522270794
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî (7/8),shapeh_score,mean,24.010346322843915
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî (7/8),shapeh_score,median,22.752933161246943
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî (7/8),shapeh_score,max,52.57996959997031
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî (7/8),shapeh_score,top_5_mean,46.460032793284036
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî,shapeh_score,mean,22.98567306855446
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî,shapeh_score,median,22.26753201333955
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî,shapeh_score,max,48.825993307434864
Bhairav,Acemaşîrân Şarkı,Devr-i Hindî,shapeh_score,top_5_mean,39.28668552779093
Bhairav,Acemaşîrân Şarkı,Düyek,shapeh_score,mean,23.334873600822927
Bhairav,Acemaşîrân Şarkı,Düyek,shapeh_score,median,21.4646663760572
Bhairav,Acemaşîrân Şarkı,Düyek,shapeh_score,max,61.46063523810736
Bhairav,Acemaşîrân Şarkı,Düyek,shapeh_score,top_5_mean,56.267361137821474
Bhairav,Acemaşîrân Şarkı,Raksaksağı,shapeh_score,mean,21.546737077731855
